unique_id,date,district,address,area_msquare,age,total_room,floor,price,distance_to_center_km,distance_to_hospital_km,within_the_site,elevator
0,01/01/2024,Pursaklar,Saray Fatih Mah,85,0,3,0,12500,5.3,5.1,No,Yes
1,30/12/2023,Pursaklar,Mimar Sinan Cad,80,8,3,0,8000,2.2,1.5,No,No
2,29/12/2023,Pursaklar,Altinova Mah,105,8,3,1,12500,11.2,11,No,Yes
3,27/12/2023,Pursaklar,Ayyildiz Mah,90,18,3,2,10250,3,4,No,No
4,27/12/2023,Pursaklar,Ayyildiz Mah,85,23,3,4,9500,3.2,4.2,Yes,No
5,25/12/2023,Pursaklar,Tevfik Ileri Mah,90,17,3,6,12000,2.5,4.4,Yes,Yes
6,24/12/2023,Pursaklar,Ayyildiz Mah,60,22,3,3,7500,3.3,4.6,No,No
7,19/12/2023,Pursaklar,Fatih Mah,85,19,3,0,5250,1.4,2.3,No,No
8,19/12/2023,Pursaklar,Yunus Emre Mah,80,13,3,0,11000,1.7,4.1,No,No
9,18/12/2023,Pursaklar,Ayyildiz Mah,70,24,3,4,10000,3.1,4,No,No
10,13/12/2023,Pursaklar,Mimar Sinan Cad,80,12,3,1,11000,2,1.3,No,No
11,27/12/2023,Pursaklar,Ayyildiz Mah,75,17,3,5,10000,2.5,1.9,No,No
12,03/01/2024,Pursaklar,Merkez Mah,115,24,4,2,8500,1.5,2.6,No,No
13,02/01/2024,Pursaklar,Mimar Sinan Cad,120,1,4,2,26900,2.4,1.8,No,Yes
14,02/01/2024,Pursaklar,Fatih Mah,110,1,4,1,8500,1.4,2.3,No,No
15,02/01/2024,Pursaklar,Fatih Mah,120,12,4,3,12750,1.5,2.4,No,No
16,02/01/2024,Pursaklar,Pecenek Mah,135,2,4,1,8500,11.2,11.4,No,Yes
17,01/01/2024,Pursaklar,Fatih Mah,100,16,4,0,10500,1.6,2.5,No,Yes
18,01/01/2024,Pursaklar,Fatih Mah,130,14,4,3,10000,1.3,2.2,No,No
19,01/01/2024,Pursaklar,Saray Fatih Mah,135,1,4,2,14500,5.3,4.9,No,Yes
20,01/01/2024,Pursaklar,Mimar Sinan Cad,125,11,4,4,8000,2.3,1.6,No,Yes
21,02/01/2024,Pursaklar,Saray Cumhuriyet,125,6,4,3,13500,7.1,7.5,No,Yes
22,30/12/2023,Pursaklar,Saray Fatih Mah,140,3,4,10,15500,5.2,4.8,No,Yes
23,29/12/2023,Pursaklar,Fatih Mah,125,20,4,2,15000,2.4,1.7,No,No
24,04/01/2024,Pursaklar,Tevfik Ileri Mah,165,4,5,11,20000,2.6,4.5,No,Yes
25,04/01/2024,Pursaklar,Saray Fatih Mah,180,4,5,7,20000,5.1,4.9,Yes,Yes
26,04/01/2024,Pursaklar,Saray Cumhuriyet,140,7,5,3,18000,7,7.4,No,Yes
27,04/01/2024,Pursaklar,Saray Fatih Mah,160,3,5,9,17500,5.2,5,No,Yes
28,04/01/2024,Pursaklar,Saray Cumhuriyet,170,2,5,4,18500,7.2,7.6,Yes,Yes
29,04/01/2024,Pursaklar,Saray Fatih Mah,170,3,5,11,14000,5.3,5.1,Yes,Yes
30,03/01/2024,Pursaklar,Fatih Mah,150,0,5,1,19000,1.6,2.5,No,Yes
